fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,Class
-0.8513871901083228,-0.8751698637189819,-0.5839148432879953,-0.13922036595067622,-0.4135427470736406,-0.05993649753841823,0.24115200639886603,0.02498615020206322,-0.10906666666666665,-0.6738671971099688,1
-0.8343701831045474,-0.9085466218377265,-0.6586635127143701,0.17558813501534276,0.11720254852570755,-0.06270122792590635,0.24751158128121142,0.015888446715024998,-0.8586466666666667,-0.1746416594372725,1
-0.043518590090438236,0.06115873969311414,0.25363690124186933,-0.9447664507330378,-0.9454734034671803,0.11242959442361503,-0.06359750289860933,-0.1669190350015567,0.7102222222222221,0.03385217723453038,1
-0.8815757206492398,-0.9253239306971628,-0.7651094027202838,0.36742811683145815,0.16135723810934932,-0.060884465939729626,0.14125988202090495,0.030437409930946784,-0.7678,-0.5328365552692571,1
-0.5704510698149554,-0.7587935190457988,-0.27865168539325835,-0.3096942834413,-0.45799377685583054,-0.12425993808490643,0.2641005716530929,0.1807467976959951,-0.8967111111111111,0.4371633476194794,1
-0.7129952545291132,-0.8350102581304459,-0.4280307510348904,-0.4797136038186157,-0.6037931545414135,-0.015072639506413785,0.315446561223362,0.11840106059510197,-0.9197111111111111,-0.04177321930312938,1
-0.7334697409921687,-0.8646043794026101,-0.35428740390301594,-0.4549380611433117,-0.5519336197955254,-0.09696359739392903,0.2975795516934717,0.12240525299439506,-0.8935111111111111,-0.11869747899159655,1
-0.8635547532764362,-0.8926640715806882,-0.6387936132465997,-0.06693942493465166,-0.35664542895243745,-0.05619360004212337,0.23569683266649227,0.05232799743457936,-0.9819555555555556,-0.045673855058201984,1
-0.4425522176096225,-0.6371313118705682,0.3085156712004733,-0.8527105352881009,-0.88531634316195,0.10006748249636449,0.4622973823936459,0.2914160805940287,-0.8921333333333333,-0.0007922660589658737,1
-0.7424720402190403,-0.8814323938498023,-0.6231224127735069,-0.2621888851005796,-0.43399022077344795,-0.06563863297420106,0.31786157189690933,0.03287476697731179,-0.825,-0.5914512954642566,1
-0.6453819187101291,-0.7666731673830456,-0.17693672383205183,-0.4672121832026367,-0.6272040302267003,-0.17919603297389133,0.3659502439041502,0.1907622042189972,-0.7796799999999999,0.302146320777926,1
-0.911652093781781,-0.8715978500830792,-0.7059727971614429,0.1708148653256052,-0.13172321825455635,-0.06491831636785439,0.14099045607708094,-0.02027683004632322,-0.745311111111111,-0.3462574937525086,1
-0.7493215234613595,-0.8228424772409919,-0.3478415138971023,-0.526764405046028,-0.6408356793599053,-0.1491756140016695,0.09151641551233891,-0.006711934831677924,-0.9915066666666666,-0.28391610881640783,1
-0.824802246785705,-0.902758383973914,-0.6722649319929035,0.03761791112626445,-0.2861164616980294,-0.1465341950031206,0.08648748204265547,0.02510228889136034,-0.06824444444444433,-0.837747310017998,1
-0.6594385763890467,-0.7417439601844124,-0.2589591957421642,0.033753835663143494,-0.2707067713735368,-0.08587718727689742,0.045090255937105764,0.21699969695060767,-0.8157333333333333,0.5023330981082728,1
-0.8472804101929865,-0.8248075137880194,-0.5952099349497337,-0.33037845209682926,-0.48525707512224037,-0.07847424514846155,0.2435814004886852,0.1357845336966816,0.06747555555555551,-0.13877118644067787,1
-0.8066612406731263,-0.862030095716548,-0.40585452395032506,-0.37856574610751226,-0.5294117647058825,-0.12280207612242407,0.09738555098131722,0.126235755836034,-0.9943555555555555,-0.23050491382993865,1
-0.7453238696730915,-0.8749303773275815,-0.5066232998225901,-0.25627912262757135,-0.43191583938361244,-0.016825519611350426,0.28098459746606286,0.0011611276548254973,-0.13984444444444444,-0.6995992541854954,1
-0.7467346279935797,-0.8534452496665133,-0.2428149024246007,-0.4772133196954199,-0.5551933619795526,-0.018180976982390323,0.2835851892910202,0.12348731301476601,-0.8069777777777778,-0.27368705571596896,1
-0.7547335731076847,-0.878022638094718,-0.5879952690715553,-0.3235594953972043,-0.49266558008593864,-0.08637469162473697,0.29452360195824934,0.13190114627330912,-0.9277555555555556,-0.10769558208491392,1
-0.47038180503708005,-0.43926016647034505,0.12779420461265545,-0.8524832367314468,-0.8734627352200326,-0.22334073588829892,0.41757899038942203,0.37869949036372935,-0.6306222222222222,0.14968163690745961,1
